                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4115,                 2.6543,                 1.5317,                0.82484,                0.27687,                 0.2778,                0.13897,                 2.1314,                 2.1197,                 1.6741,               0.070667,              0.0032593,              0.0032593
                      1,                 1.7079,                 1.0977,                 1.2034,                0.90321,                0.30537,                0.34286,                0.20504,                 1.8991,                 1.3966,                  1.511,               0.040536,              0.0064621,              0.0064621
                      2,                 1.5814,                0.99915,                 1.1399,                0.77558,                0.49739,                0.51216,                0.30599,                 1.7991,                 1.3381,                 1.4485,               0.010274,              0.0095329,              0.0095329
                      3,                 1.5986,                0.95485,                 1.1173,                0.87667,                0.46139,                0.52739,                0.31378,                 1.7826,                 1.1298,                 1.3863,               0.009406,               0.009406,               0.009406
                      4,                 1.4689,                0.88819,                 1.0776,                0.89645,                0.49772,                0.55976,                0.34455,                 1.7152,                 1.0629,                 1.3162,               0.009406,               0.009406,               0.009406
                      5,                 1.4084,                0.83012,                 1.0474,                0.83057,                0.49352,                0.54843,                0.34479,                 1.6142,                 1.0708,                 1.2861,               0.009208,               0.009208,               0.009208
                      6,                 1.3414,                0.78787,                 1.0376,                0.77219,                0.54808,                0.59917,                  0.406,                 1.5392,                0.97746,                 1.2607,                0.00901,                0.00901,                0.00901
                      7,                 1.3053,                0.75383,                 1.0331,                0.77791,                0.44777,                0.52234,                0.33703,                 1.5167,                0.98072,                 1.2246,               0.008812,               0.008812,               0.008812
                      8,                 1.2904,                0.73207,                 1.0225,                 0.9374,                  0.551,                 0.6398,                0.43125,                  1.431,                0.89764,                 1.1899,               0.008614,               0.008614,               0.008614
                      9,                 1.2545,                0.71111,                 1.0066,                0.82618,                0.51608,                0.58326,                0.38098,                 1.4405,                0.88087,                 1.1954,               0.008416,               0.008416,               0.008416
                     10,                 1.2265,                0.70345,                0.99924,                0.87945,                 0.5401,                0.62843,                0.42005,                 1.4161,                0.85266,                 1.1983,               0.008218,               0.008218,               0.008218
                     11,                 1.1946,                0.68924,                 1.0007,                0.92264,                0.37982,                0.43399,                0.31113,                 1.3477,                 0.8433,                 1.1794,                0.00802,                0.00802,                0.00802
                     12,                 1.1913,                 0.6601,                0.98521,                0.83183,                0.53803,                0.59079,                 0.4096,                 1.4127,                0.82534,                 1.1912,               0.007822,               0.007822,               0.007822
                     13,                 1.1584,                 0.6555,                0.98686,                0.89583,                0.55786,                 0.6383,                0.45849,                 1.3508,                0.82166,                 1.1536,               0.007624,               0.007624,               0.007624
                     14,                 1.1344,                 0.6512,                0.98553,                0.88474,                 0.5922,                0.63388,                0.44263,                 1.3181,                0.79234,                 1.1457,               0.007426,               0.007426,               0.007426
                     15,                 1.1066,                0.63378,                0.96953,                0.85127,                0.60307,                0.64868,                0.46543,                 1.3382,                0.79937,                 1.1511,               0.007228,               0.007228,               0.007228
                     16,                 1.0874,                  0.613,                0.95473,                0.85038,                0.60862,                0.64656,                0.46594,                 1.2769,                0.74422,                  1.132,                0.00703,                0.00703,                0.00703
                     17,                 1.0859,                0.62449,                0.97007,                0.85536,                0.57355,                0.59145,                0.42703,                 1.2918,                0.80747,                  1.133,               0.006832,               0.006832,               0.006832
                     18,                 1.0673,                0.61253,                0.96405,                0.82156,                0.57785,                0.61226,                 0.4472,                 1.2637,                0.75148,                  1.125,               0.006634,               0.006634,               0.006634
                     19,                 1.0244,                0.58903,                0.94748,                0.89462,                 0.5877,                0.66074,                0.47836,                 1.2223,                0.72819,                 1.1016,               0.006436,               0.006436,               0.006436
                     20,                  1.034,                0.58445,                0.94548,                0.83765,                0.58698,                0.64771,                0.46994,                 1.2324,                0.71944,                 1.1047,               0.006238,               0.006238,               0.006238
                     21,                0.99407,                0.57483,                0.94238,                0.78997,                 0.6157,                0.63042,                0.46827,                 1.2305,                0.73061,                  1.107,                0.00604,                0.00604,                0.00604
                     22,                0.99917,                0.57096,                0.94084,                0.81584,                0.59549,                0.63241,                0.47544,                 1.2237,                0.73578,                 1.1133,               0.005842,               0.005842,               0.005842
                     23,                0.97686,                0.56752,                0.93918,                0.87341,                0.55086,                0.65003,                0.48673,                 1.2305,                0.73137,                 1.1019,               0.005644,               0.005644,               0.005644
                     24,                0.98283,                0.56318,                0.93963,                0.82629,                0.60564,                0.65398,                0.47426,                 1.2324,                0.71979,                 1.0979,               0.005446,               0.005446,               0.005446
                     25,                0.97363,                0.55871,                0.93638,                0.85149,                0.60835,                0.67481,                0.50928,                 1.2136,                0.70908,                 1.1013,               0.005248,               0.005248,               0.005248
                     26,                0.93455,                0.55186,                  0.929,                0.90689,                0.64307,                0.68483,                 0.5156,                 1.2107,                0.69882,                 1.0991,                0.00505,                0.00505,                0.00505
                     27,                0.96352,                0.56315,                0.93689,                0.92355,                0.54553,                 0.6771,                0.50689,                 1.1934,                0.68176,                 1.0951,               0.004852,               0.004852,               0.004852
                     28,                0.95841,                 0.5493,                0.94047,                0.94351,                 0.6196,                0.67781,                0.51404,                 1.2136,                0.68946,                 1.1175,               0.004654,               0.004654,               0.004654
                     29,                0.89895,                0.52021,                0.91782,                0.81309,                0.63881,                0.67147,                0.50497,                  1.195,                0.67378,                 1.1074,               0.004456,               0.004456,               0.004456
                     30,                0.86343,                0.50261,                0.91305,                 0.8546,                0.62224,                 0.6644,                0.49937,                 1.1754,                0.67582,                 1.0898,               0.004258,               0.004258,               0.004258
                     31,                0.88136,                0.50989,                0.91975,                0.83394,                0.61875,                0.67187,                0.51252,                 1.1909,                0.66803,                 1.1071,                0.00406,                0.00406,                0.00406
                     32,                0.88144,                0.50693,                0.91855,                0.86249,                0.61554,                0.66965,                0.52009,                 1.1769,                0.66266,                 1.1041,               0.003862,               0.003862,               0.003862
                     33,                0.86783,                0.50595,                0.91383,                0.90385,                0.58451,                0.68148,                0.52422,                 1.1974,                0.68015,                 1.1052,               0.003664,               0.003664,               0.003664
                     34,                0.89258,                0.51165,                0.91587,                0.83004,                0.63038,                0.65441,                0.49683,                 1.1665,                 0.6579,                 1.0902,               0.003466,               0.003466,               0.003466
                     35,                0.84901,                0.49365,                0.90585,                0.83478,                0.63202,                0.64049,                0.47849,                 1.1825,                0.65244,                 1.1003,               0.003268,               0.003268,               0.003268
                     36,                0.83479,                0.48786,                 0.9078,                0.66595,                0.61699,                 0.6834,                0.52092,                  1.166,                0.62473,                 1.0921,                0.00307,                0.00307,                0.00307
                     37,                0.84275,                0.49064,                0.91037,                0.86853,                0.60852,                0.64144,                0.50703,                 1.1583,                0.63566,                 1.0879,               0.002872,               0.002872,               0.002872
                     38,                0.84075,                0.48885,                0.91273,                0.86934,                0.59996,                0.65509,                0.51065,                 1.1461,                0.62474,                 1.0803,               0.002674,               0.002674,               0.002674
                     39,                0.82707,                0.47961,                0.90802,                0.87106,                0.61067,                 0.6609,                0.52233,                  1.125,                0.62785,                 1.0854,               0.002476,               0.002476,               0.002476
                     40,                0.76634,                0.45814,                0.89632,                0.81784,                0.56138,                0.61024,                0.47525,                 1.1023,                0.63311,                 1.0712,               0.002278,               0.002278,               0.002278
                     41,                0.75895,                0.44235,                0.89368,                0.54358,                0.60354,                0.61358,                0.47853,                 1.1271,                0.66647,                 1.0757,                0.00208,                0.00208,                0.00208
                     42,                0.76711,                0.44382,                0.89406,                0.62194,                  0.592,                0.65317,                0.49616,                  1.138,                0.64476,                 1.0807,               0.001882,               0.001882,               0.001882
                     43,                 0.7541,                0.44224,                0.88703,                0.64661,                0.59296,                0.66861,                0.50496,                 1.1302,                0.62915,                 1.0805,               0.001684,               0.001684,               0.001684
                     44,                0.77089,                0.44434,                0.89267,                0.57152,                0.64688,                0.68287,                0.52912,                 1.0979,                0.61124,                 1.0682,               0.001486,               0.001486,               0.001486
                     45,                0.73808,                0.42648,                 0.8837,                 0.6637,                0.61605,                 0.6812,                 0.5346,                 1.1155,                0.62212,                 1.0782,               0.001288,               0.001288,               0.001288
                     46,                0.71092,                0.41353,                0.87791,                0.66023,                0.62626,                0.68377,                0.53762,                 1.0931,                0.60363,                 1.0631,                0.00109,                0.00109,                0.00109
                     47,                0.74933,                0.42879,                0.88835,                0.66835,                 0.6294,                0.68646,                0.53697,                  1.125,                 0.6058,                 1.0855,               0.000892,               0.000892,               0.000892
                     48,                0.71592,                0.41177,                0.88427,                0.65827,                0.62818,                0.69138,                  0.541,                 1.0969,                0.60173,                 1.0731,               0.000694,               0.000694,               0.000694
                     49,                0.69865,                0.40465,                0.87514,                0.67711,                0.59218,                0.68952,                0.53789,                 1.0749,                0.59073,                 1.0605,               0.000496,               0.000496,               0.000496
